review_title,review_body,review_rating
Awesome echo at awesome price,I have an existing sound bar and want an echo extension in my room. Echo dot works perfectly after integrating it with my existing sound bar. It's amazing and with smart compatible power switches now alexa is like a house helper to switch of the lights and tell us about the weather. Will buy 1 more for other room whenver the amazon deal come again. Best product best price,5.0 out of 5 stars
SUPER DUPER AMAZINGLY AWESOME DEVICE,Good 👍🏼,5.0 out of 5 stars
"Great, but...","I love it, but I wish it had more music I like that I don’t have to pay extra for.",5.0 out of 5 stars
Great for a Guest Room.,I bought the Dot for a 2nd guest room so my guests could control the Hue lights I have install there. It works great and also allows them to have Alexa check things for them. For the price you can not beat it.,5.0 out of 5 stars
Love the product,Happy with product,5.0 out of 5 stars
Family loves this,Both my brother and son liked to receive as a gift.,4.0 out of 5 stars
Little Troubles,"set up was not as ez to setup compared to them setup as The Echo (2nd gen.) Took 3 separate try’s to make Bluetooth connect to Echo 2, you also needed to program each persons individual voice for the dot to follow any command. Now it’s fine after quite sometime spent.",4.0 out of 5 stars
Alexa is great.,Easy to use. Fun to play with. Works well with Speech Generated Devices.,5.0 out of 5 stars
Love it,Everything in General . Use a lot for music and just for information,4.0 out of 5 stars
I love my amazon dot,Echo dot(2nd generation)is everything I thought it would be. Love it,5.0 out of 5 stars
Horrible speaker quality.,Horrible speaker quality. Worth spending the extra to get the bigger one.,3.0 out of 5 stars
Easy to use.,Wish I had 2 more for yhe house.,5.0 out of 5 stars
Just little everyday things,Its wonderful,5.0 out of 5 stars
Great talking to Alexa,"Delivered as promised. We are still learning basic usage, we aren't tech savvy!",5.0 out of 5 stars
easy to use,love it have been using it for music and my audible books the most but fun to use with other things to,5.0 out of 5 stars
Should have purchased sooner,Enjoy listening to music while working on my laptop. With Alexa I don't run my battery on my android playing music that is downloaded on my device.,5.0 out of 5 stars
it's addicting,and super fun,5.0 out of 5 stars
Love the Echo Dot,Love this Echo Dot. I got it on prime day with my Fire stick. Easy set up. Connected to my WiFi easily and I can ask Alexa the weather or quote of the day and she answers me right away. I am looking at the Echi Show for my next purchase.,5.0 out of 5 stars
Echo dot,"This was not the easiest to set up, and the volume for the alarm is not very loud.",3.0 out of 5 stars
Its useless,It only works with amazon didnt know that,3.0 out of 5 stars
Wake up call,"I now meditate before I go to sleep and wake up to the sound of music.
What else can you ask for?",5.0 out of 5 stars
It is difficult she trying to set up.,I really enjoyed having the echo.,4.0 out of 5 stars
Very easy to set up and make changes as you realize how flexible it is,Love having Alexa work for me...I keep adding...very addictive,5.0 out of 5 stars
It works as intended,It works,5.0 out of 5 stars
